id|time|attempt|sentence
0|1499630850.1389763||Исследователи из парижского Института Жака Моно проанализировали ДНК  290 котов из 30 археологических памятников , разбросанных по разным __уголокам__ планеты : по Европе , Ближнему Востоку и Африке .
0|1499631617.4285529||Генетические маркеры кошек-египтянок нашлись у их __собратьв__ из Болгарии , Турции и южной части Африки .
0|1499631853.2336137||Так , __кошачие__ останки были найдены в погребении __скандинавов__ в северной Германии .
0|1499689970.356073||__бежащая__ строка .
2|1513007705.0127184||Художник  Валентин Александрович Серов ( 1865-1911 ) вошел в историю русской __живописяки__ как автор __портрета__ и __пейзажа__ , исторических и жанровых картин  , картин на мифологические сюжеты .
3|1517847573.4685507||В России в две тысячи четырнадцатом году впервые за последние восемь лет смертность не снизилась ,  а за первый квартал две тысячи пятнадцатого года она даже __возрасла__ на пять и две десятых процента .
3|1517847623.4673405||Для справки – за весь период Великой Отечественной войны естественная  смертность взрослого населения Советского Союза по сравнению с мирным временем __возрасла__ всего на тринадцать процентов .
4|1518114799.2919805||Именно поэтому в развитых странах из  государственных источников в __системе__ здравоохранения вкладывается более семи процентов валового __внутренного__ продукта ( ВВП ) .
6|1518023319.6881456||Для справки – за весь период Великой Отечественной войны  естественная смертность взрослого населения Советского Союза по сравнению с мирным __времем__ возросла всего на тринадцать процентов .
6|1518023568.194959||Первое заблуждение , это то , что здоровье населения __зависут__ от деятельности системы здравоохранения только на пятнадцать процентов .
6|1518023921.0345988||Если в две тысячи пятнадцатом году госрасходы на здравоохранение в ценах две тысячи тринадцатого года сократились на двадцать  процентов , то соответственно на столько же __снизились__ и объем __бесплатныых__ услуг , как следствие , упала доступность медицинской помощи и  возросла смертность .
6|1518023921.0345988||Чудес ведь не бывает  услуг , как следствие , упала доступность медицинской помощи и __возрасла__ смертность .
7|1518102135.933672||Мне еще надо сдать несколько __переводев__ и два реферата .
7|1518102667.597277||Мне еще надо сдать несколько __переводев__ и два реферата .
7|1518102524.3079348||И __были__ много __тройек__ .
7|1518101788.3751457||И все потому , что __писает__ реферат по Бердяеву .
7|1518102709.529312||И __были__ много __тройек__ .
7|1518102434.028468||И кроме того  , по вторникам и четвергам я хожу на __семинар__ по __философие__ , а в пятницу на __консультацию__ к профессору Янкову .
7|1518102628.6668384||И кроме того  , по вторникам и четвергам я хожу на __семинар__ по __философие__ , а в пятницу на консультации к профессору Янкову .
7|1518102813.8599315||И кроме того  , по вторникам и четвергам я хожу на семинары по __философие__ , а в пятницу на консультации к профессору Янкову .
8|1518104903.91005||Я записалась на русский язык , астрономию , историю Восточной Европы и физику       Но у меня все дни __тяжелие__ - и понедельник , и вторник , и среда , ица .
8|1518104903.91005||Я записалась на __русскым__ __языкам__ , астрономию , историю Восточной Европы и физику .
8|1518105635.076697||В это воскресенье я была у бабушки , а потом у подруги  __этот__ воскресенье я была у бабушки , а потом у __подругы__ .
8|1518106792.5182405||Конечно , я сама __виноватава__ .
10|1518389343.5147984||Некоторые регионы __отличаеться__ особо – в Москве рост смертности __составляет__ более семи процентов  .
10|1518389343.5147984||Для справки – за весь период Великой Отечественной войны естественная  смертность взрослого населения Советского Союза по сравнению с мирным временем __возрасла__ всего на тринадцать процентов .
10|1518390966.4000168||Чудес ведь не бывает  услуг , как следствие , упала доступность медицинской помощи и __возрасла__ смертность .
10|1521675402.3857539||" По словам Татьяны Гараниной , анализ , проведенный на Западе , показывает , что , " если в совет директоров включается женщина с опытом работы в органах власти , чаще всего это повышает капитализацию , поскольку этот факт является  для инвесторов сигналом о том , что в компании будут __выстрорены__ эффективные связи с государством " ." 
10|1521680396.8255308||В  числе глав субъектов РФ — губернаторов , глав национальных автономий __одина__ женщина ( Санкт − Петербург ) .
10|1522025096.984683||Комиссия Госдумы по вопросам депутатской  этики решила не наказывать депутата Леонида Слуцкого , которого журналистки __обвинивли__ в __сексуальном__ __домогательстве__ .
10|1522853192.161682||Сегодняшняя Россия — это страна выживших , дети тех , кто сумел не умереть в самых невозможных обстоятельствах : в бараках Колымы и Норильска , в окопах страшной войны , в закрытых городах с повышенными уровнями радиации , в условиях развитого социализма с космическими станциями на орбите и дефицитом на все и вся  , от химиотерапии и кардиопрепаратов — до мяса и туалетной __бумагы__ .
10|1522853192.161682||Сегодняшняя Россия — это страна выживших , дети тех , кто сумел не умереть в самых невозможных обстоятельствах : в бараках Колымы и Норильска ,  в окопах страшной войны , в закрытых городах с повышенными __уровенями__ радиации , в условиях развитого социализма с космическими станциями на  орбите и дефицитом на все и вся , от химиотерапии и кардиопрепаратов — до мяса и туалетной бумаги .
10|1522853467.6228445||__выжившик__ не ищут лучшего будущего : для них главное — чтобы  не было хуже .
10|1522853490.6524105||18 марта плюс-минус 50 млн __проголосовающих__ за то , чтобы не было хуже .
11|1518398672.646513||Есть даже свой ансамбль народного __танецов__ , который часто __выступают__ в университетском концертном зале .
12|1518444687.8647044||В России в две тысячи четырнадцатом году впервые за последние восемь лет смертность не снизилась ,  а за первый квартал две тысячи пятнадцатого года она даже __возрасла__ на пять и две десятых процента .
12|1518446166.8245122||Чудес ведь не бывает  услуг , как следствие , упала доступность медицинской помощи и __возрасла__ смертность .
12|1518445324.7950993||Такой рост смертности в наше мирное время - прямое следствие сокращения доступности и  качества медицинской помощи в результате неправильного выбранного вектора реформ в __отрасле__ ( сокращение коек и медицинских кадров , отчуждение зданий здравоохранения  , наращивание платных медицинских услуг ) .
12|1518445324.7950993||Путиным в майских указах две тысячи двенадцатого  года , – снизить смертность населения , тем самым увеличить __ожиданная__ продолжительность жизни граждан ( ОПЖ ) к две тысячи восемнадцатому  году до семидесяти четырех лет .
12|1518445964.8888834||Именно поэтому в развитых странах из __государственних__ источников в __системе__ здравоохранения вкладывается более семи процентов валового внутреннего  продукта ( ВВП ) .
12|1518469684.8033068||Именно поэтому в развитых странах из  государственных источников в __системе__ здравоохранения вкладывается более семи процентов валового __внутренного__ продукта ( ВВП ) .
12|1518470564.0691588||Именно  поэтому в развитых странах из государственных источников в систему здравоохранения __вкладываеться__ более семи процентов валового внутреннего продукта ( ВВП ) .
12|1518446066.721346||Все просто – меньше денег вложили , меньше __бесплатних__ услуг __смогли__ оказать , соответственно , меньше __было__ доступность бесплатной  медицинской помощи .
12|1518469906.9885437||Если в две тысячи пятнадцатом году госрасходы на здравоохранение в ценах две тысячи тринадцатого года  сократились на двадцать процентов , то соответственно на столько же __снизилися__ и объем __бесплатной__ услуг , как следствие , упала доступность  медицинской помощи и возросла смертность .
12|1518470062.4489765||Для  справки – за весь период Великой Отечественной войны естественная смертность __взросллого__ населения Советского Союза по сравнению с мирным временем возросла всего  на тринадцать процентов .
12|1519841858.0308843||Потому и стремятся простые граждане работать в бюджетных организациях , а чуть более  продвинутые соотечественники — в госкомпаниях , госбанках , госструктурах разного __уровна__ , регионального или федерального .
12|1519842675.5585968||Потому и стремятся простые __гражданы__ работать в бюджетных организациях , а чуть более __продвинуют__ соотечественники  — в госкомпаниях , госбанках , госструктурах разного уровня , регионального или федерального .
12|1519842675.5585968||Потому и стремятся  простые __гражданы__ работать в бюджетных организациях , а чуть более __продвинуют__ соотечественники — в госкомпаниях , госбанках , госструктурах разного уровня  , регионального или федерального .
12|1522080507.3808138||Будем честными : 32 % непришедших на выборы —  это совсем не только __сторонников__ « забастовки избирателей » , __объявленно__ Алексеем Навальным .
12|1522080930.214417||Будем честными : 32 % непришедших на выборы —  это совсем не только сторонники « забастовки избирателей » , __объявляенная__ Алексеем Навальным .
12|1522251033.6000834||Демократия — это институализированная неопределенность , победители и __проиграющие__ постоянно меняются ( самое короткое определение демократической формы правления :  « Партия власти проигрывает выборы и уходит » ) , и именно эти качели — защита от узурпации власти одной партией , одним кланом , одним человеком .
12|1522251698.795733||Демократия — это институализированная __неопределенности__ , победители и __проиграюшие__ постоянно меняются ( самое короткое определение демократической формы правления :  « Партия власти проигрывает выборы и уходит » ) , и именно эти качели — защита от узурпации власти одной партией , одним кланом , одним человеком .
12|1522251458.1813648||Соответственно , Путин , скорее всего , получил не  56 , 4 млн голосов ( больше половины от всех __имеювших__ право голосовать 18 марта — это 107 млн ) ,  а 46 млн с небольшим , и явка , скорее всего , была не 67 , 47 % , а меньше — по-видимому , меньше , чем в 2012 году ( 65 , 34 % ) .
12|1522251458.1813648||Предварительные данные математиков , в частности , Сергея Шпилькина , показывают плюс-минус  10 млн аномальных голосов , то есть __вбросанных__ бюллетеней за __победенного__ кандидата .
