id|time|attempt|label|category|sentence
3|1517755462.0000734||0|Other: spelling variant with numbers|В России средняя продолжительность жизни - 70 , 37 года ,  на медицину тратится 7 , 07 % ВВП или 893 __долларов__ .
12|1518446066.721346||0|Tense: past/fut| Все просто – меньше денег вложили , меньше __бесплатних__ услуг __смогли__ оказать , соответственно , меньше __было__ доступность бесплатной медицинской помощи  .
15|1561629512.0051844|1|1|Tense: past/pres|Перед нами движутся религиозные процессии , плывут корабли , акробаты рискуют жизнью в играх с быком , придворные дамы восседают на пиру ... Можно увидеть , как выглядели и что делали люди той далекой эпохи , но  , __из__ __сожаление__ , нельзя понять , __за__ чем они __говорили__ .
16|1569342422.4812253|1|1|Gender: n/m|__это__ полезный , увлекательный вид спорта – им можно заниматься и авательном бассейне .
17|1526296804.1095238||0|Number: s/p, Case: nom/gen, Base|» Если твоя жена или свояченица играет гаммы , то не выходи из себя , а не находи себе места от  радости , что ты слушаешь игру , а не вой __шакал__ или кошачий концерт .
17|1526296656.4938886||0|Case: gen/nom|А это нетрудно : Когда у тебя в кармане загораются спички , то радуйся  и благодари небо , что у тебя в кармане не __порохового__ погреб .
17|1526296941.5865388||0|Person: 3/2|Радуйся , что ты не лошадь конножелезки , не коховская « запятая » , не трихина , не свинья , не осел , не медведь , которого водят цыгане , не клоп ... Радуйся , что ты не хромой , не слепой , не глухой , не немой , не  холерный ... Радуйся , что в __данной__ __минуте__ ты не __сидит__ на скамье подсудимых , не __видит__ пред собой кредитора и  не беседуешь о гонораре с Турбой .
18|1526474891.6104639||0|Verb form: 3 past s f/gerund|Когда же чувствовала , что я больше не в силах  владеть собой , отстраняла меня , садилась и , не __повышала__ голоса , просила зажечь свет , потом уходила в спальню  .
18|1526475510.384361||2|Tense: past/pres|« Там видно __было__ !
18|1526401515.8012207||0|Gender: f/m|В комнате пахло цветами , и она соединялась для меня с их запахом ; за одним окном низко лежала вдали огромная картина заречной снежно-сизой Москвы ; в другое , левее , была видна часть Кремля , напротив , как-то не в меру близко ,  __белеет__ слишком новая громада __христоса__ Спасителя , в __золотой__ куполе __которая__ синеватыми пятнами __отражалась__ галки , вечно вившиеся вокруг него ...  « Странный город !
