id|time|attempt|sentence
3|1517755241.3431962||Перед ней __ко__ списке __находится__ Бразилия , Азербайджан , Колумбия , Иордания и  США , которые занимают 54-50-ую строчки соответственно .
3|1517847762.4854786||Такой рост смертности в наше мирное время прямое  следствие сокращения доступности и качества медицинской помощи в результате неправильного __выбора__ вектора реформ в отрасли ( сокращение коек и медицинских кадров  , отчуждение зданий здравоохранения , наращивание платных медицинских услуг ) .
6|1518023319.6881456||Некоторые регионы отличились особо – __к__ Москве рост смертности составил более семи процентов .
6|1518023492.2040176||Такой рост смертности __к__ наше __мирной__ __времени__ - прямое следствие сокращения доступности и качества  медицинской помощи в результате неправильного выбранного вектора реформ в отрасли ( сокращение коек и медицинских кадров , отчуждение зданий здравоохранения , наращивание платных медицинских услуг ) .
6|1518023492.2040176||Путиным в майских указах две тысячи двенадцатого года , – снизить смертность населения ,  тем самым увеличить __ожидать__ продолжительность жизни граждан ( ОПЖ ) __в__ две тысячи __восемнадцатом__ году до семидесяти четырех лет .
8|1518105494.6298962||Кроме того , я работаю в медицинском центре университета , перевожу с русского на английский  того , я работаю в медицинском центре университета , перевожу __из__ русского на английский .
8|1518106792.5182405||Я записалась на русский язык , астрономию , историю Восточной Европы и физику           Но __на__ меня все дни тяжелые - и понедельник , и вторник .
9|1518130619.8773565||__соответственно__ __справка__ – за весь период Великой Отечественной войны естественная смертность  взрослого населения Советского Союза по сравнению с мирным временем возросла всего на тринадцать процентов .
9|1518130619.8773565||__соответственно__ __справка__ – за весь период Великой Отечественной войны естественная смертность взрослого  населения Советского Союза по сравнению с мирным временем возросла всего на тринадцать процентов .
9|1521473361.3321176||В то же время вероятность виктимности __завис__ от многих факторов .
9|1521546623.9435284||Как __рассказывает__ DW один из авторов исследования , доцент кафедры финансов и  учета Высшей школы менеджмента Санкт-Петербургского государственного университета Татьяна Гаранина , причиной этого явления с немалой долей вероятности является следование европейским тенденциям .
9|1521925516.170987||Как отмечает « Интерфакс » , Слуцкий пришел  на заседание комиссии лишь после того , как его покинули __обвинение__ его журналистки .
10|1518389343.5147984||Некоторые регионы __отличаеться__ особо – в Москве рост смертности __составляет__ более семи процентов .
10|1519826866.5440547||В результате , по данным Росстата ,  доля доходов от предпринимательской деятельности за время правления Путина просто __обрушалась__ : с 15 , 2 % в 2000 году до  7 , 8 % в 2016-м .
12|1518444885.3062134||Некоторые регионы __отличались__ особо – в Москве рост смертности составил более семи процентов  .
12|1518445324.7950993||Эти реформы прямо противоречат __целю__ , __обозначил__ Президентом страны В .
12|1518446642.1726396|| Путиным в майских указах две тысячи двенадцатого года , – __снижение__ смертность населения , тем самым увеличить __ожидаемая__ продолжительность жизни __гражданин__  ( ОПЖ ) к две тысячи восемнадцатому году до семидесяти четырех лет .
12|1518446642.1726396||Эти реформы прямо противоречат целям , __обозначаемы__ Президентом страны В .
12|1518445714.8469734||Первое заблуждение , это то , что __здоровое__ населения зависит от деятельности системы здравоохранения только на пятнадцать процентов  .
12|1519842841.4191647||В результате , по данным Росстата , доля доходов __из__ предпринимательской деятельности за время __правлением__ Путина просто обрушилась : с  15 , 2 % в 2000 году до 7 , 8 % в 2016-м .
